747.27,462.09,528.31,741.8,375.59,327.9,325.66,447.11,382.83,413.74,339.54,355.61,364.15,430.36,339.7,384.17,402.84,362.11,400.79,370.76,534.14,379.11,353.05,316.75,323.77,371.75,359.85,392.47,356.14,443.53,365.82,469.23,355.16,415.9,441.67,361.46,376.16,335.81,371.22,331.87,535.74,343.94,386.67,351.02,377.51,421.17,386.82,330.39,335.68,574.92,359.12,374.83,370.11,369.25,386.66,359.82,358.74,332.66,433.99,495.52,360.05,377.16,389.54,427.36,401.41,417.34,344.88,349.52,641.1,539.12,400.88
744.97,458.42,523.13,736.92,376.6,318.88,321.39,444.55,365.82,413.24,338.62,362.1,365.08,425.74,337.3,387.6,401.76,363.54,399.71,374.43,529.06,376.83,353.73,318.48,326.82,369.24,356.21,387.23,352.01,440.12,364.73,477.13,349.55,416.61,440.11,349.17,376.1,339.17,370.82,332.26,536.64,349.67,382.77,347.17,372.76,416.97,391.58,336.12,335.82,565.06,357.15,378.6,367.4,370.22,383.55,357.31,357.57,336.98,431.04,489.12,360.39,377.92,388.12,423.87,397.36,404.96,342.43,347.68,643.75,523.36,399.71
736.94,460.14,511.87,728.33,371.54,317.69,324.34,442.76,365.48,411.64,341.48,366.18,368.68,421.38,337.15,387.8,398.92,361.99,399.4,367.31,527.65,372.76,348.04,315.28,320.7,359.3,357.61,385.41,346.99,433.93,361.27,469.1,352.37,409.5,434.58,349.62,374.47,335.25,370.76,332.7,532.62,345.99,382.63,344.81,372.77,413.36,394.55,332.7,340.39,561.46,356.26,371.76,364.18,366.3,377.59,356.27,352.44,326.71,426.8,479.88,357.43,376.13,387.67,418.2,397.36,405.43,342.11,343.54,632.81,508.8,397.62
743.04,454.59,510.23,736.01,376.1,320.43,321.35,444.71,366.69,406.36,341.52,360.75,365.35,426.62,338.16,392.33,399.72,361.51,395.33,376.52,530.16,375.17,352.11,312.85,319.18,363.97,357.51,387.56,352.96,437.93,361.94,462.57,349.08,414.62,433.84,348.59,376.34,349.52,366.83,337.57,530.61,344.83,381.56,347.28,371.7,407.77,393.53,334.62,333.9,558.25,356.45,372.07,363.96,368.66,379.82,355.93,355.27,333.44,431.49,486.54,361.79,375.67,385.94,416.16,398.27,401.82,342.44,354.77,633.42,520.65,395.8
733.2,454.5,514.08,726.35,374.98,320.27,328.97,443.58,370.88,410.99,340.08,361.2,363.38,424.09,337.68,393.49,402.44,359.99,389.99,372.63,527.09,376.31,347.67,314.48,314.7,366.09,359.44,382.37,348.81,435.35,363.11,468.7,349.39,413.24,435.86,347.75,369.83,342.97,370,337.04,534.67,344.77,380.64,345.88,367.2,406.13,385.6,334.16,337.65,561.64,358.1,369.91,367.5,367.49,381.11,357.24,356.58,336.15,427.98,526.18,359.35,378.23,386.08,420.55,397.03,402.83,338.78,356.35,630.07,526.35,393.3
729.23,455.18,508.75,711.97,373.43,323.45,322.28,442.02,368.14,410.45,334.02,356.53,361.1,419.09,339.06,390.6,393.46,356.3,387.96,371.42,520.25,374.54,348.28,313.3,321.19,359.36,356.98,382.74,345.25,430.53,363.13,459.97,349.78,410.95,431.2,352.46,367.72,347.44,365.24,328.24,532.1,342.02,382.75,342.21,375.57,401.95,387.49,331.11,333.35,548.58,355.51,364.08,362.26,363.63,381.56,352.48,351.72,327.19,423.13,533.47,357.92,373.31,386.03,413.59,392.16,403.1,336.78,352.35,623.98,508.37,393.38
740.12,461.35,507.43,724.41,376.48,322.25,327.38,442.63,365.53,405.71,333.52,356.02,360.79,423.3,337.96,389.75,401.37,360.83,388.73,370.19,523.96,376.55,352.73,317.99,319.09,357.1,358.41,384.3,341.79,431.26,361.06,458.91,351.84,409.5,432.86,346.62,371.9,346.36,366.14,337.28,537.55,340.1,382.07,347.23,368.85,398.62,386.87,336.55,336.73,558.56,356.62,368.08,366.47,367.27,380.45,353.66,353.46,333.93,426.35,540.26,358.62,374.41,389.97,413.19,391.2,405.22,337.21,358.29,627.07,508.89,393.18
743.76,491.26,511.94,734.25,381.99,326.04,330.54,450.92,367.48,419.71,333.33,369.28,362.1,434.93,334.11,395.52,399.52,387.97,394.99,374.43,523.92,383.86,352.05,317.41,320.61,361.08,369.01,461.25,353.96,479.8,371.45,515.82,353.43,439.86,551.42,351.17,369.15,350.44,428.79,339.09,540.53,345.79,397.41,388.74,378.16,419.89,405.39,345.34,344.37,562.84,418.23,407.31,375.37,409.5,386.47,366.1,420.86,334.49,429.88,582.76,361.24,372.7,393.11,466.72,426.12,434.66,348.02,364.84,631.27,530.69,393.54
736.91,484.47,513.32,722.76,395.57,326.43,326.25,444.35,367.3,570.91,400.31,493.66,369.11,435.4,342,395.63,444.08,580.46,398.51,376.8,521.94,404.94,354.04,316.28,345.3,358.55,454.51,612.61,454.49,546.07,439.79,951.22,491.07,474.31,921.49,398.48,372.71,359.79,650.88,403.83,533.52,366.52,558.25,525.96,369.71,589.42,557.25,401.02,390.27,553.32,530.21,477.2,408.35,654.04,494.69,450.55,595.97,325.64,432.68,699.72,360.45,378.59,392.06,857.96,651.04,474.85,475.47,393.33,633.5,525.9,462.75
749.59,476.27,516.57,732.38,394.03,323.98,327.6,445.25,369.65,609.59,441.81,569.56,369.92,437.42,340.05,404.11,449.74,647.14,407.43,376.21,531.24,404.21,349.35,317.28,393.3,360.04,533.83,702.35,567.78,665.64,530.6,1193.8,532.55,485.68,1097.2,475.93,373.63,390.21,699.51,434.43,535.18,390.73,751.78,582.83,412.9,753.47,626.51,408.05,429.52,565.03,591.62,522.83,425.32,751.57,571.49,522.01,689.76,337.97,444.1,794.22,361.87,378.39,396.62,977.63,703.63,493.23,593.48,435.51,626.44,526.54,500.93
