226.17,258.2,234.88,252.52,274.3,212.59,230.95,293.1,218.24,235.94,214.2,408.4,225.49,223.21,232.33,222.39,231.16,238.19,239.95,226.59,210.91,221.74,221.06,289.8,225.66,294.89,234.31,233.06,221.36,242.78,223.78,214.89,234.6,207.42,280.59,276.86,227.01,219.53,232.18,224.55,227.45,240.99,227.39,271.97,251.42,300.57,255.7,246.05,275.42,234.74,231.29,313.13,201.82,256.31,307.82,252.68,495.04,210.85,434.16,273.93,218.12,472.3,238.29
227.93,261.56,235.43,255.02,276.41,212.19,229.16,294.34,218.37,235.97,213.95,413.31,223.28,223.98,232.12,224.17,230.82,234.48,238.97,227.67,211.98,221.98,220.75,289.25,224.67,294.48,234.89,233.67,222.27,243.51,224.44,215.82,232.49,208.89,282.51,277.61,229.02,219.48,230.05,225.04,229.42,239.73,227.27,272.17,252.98,301.08,257.09,247.14,274.08,237.72,231.4,313.63,202.07,257.08,308.74,251.11,498.07,210.99,437.17,273.79,217.63,472.04,239.52
230.24,259.9,236.73,254.75,276.71,212.57,231.68,295.95,218.07,235.12,213.91,414.16,223.49,222.41,231.14,222.52,229.72,236.05,238.63,226.8,211.13,221.48,220.49,291.06,224.72,294.37,234.76,231.98,221.58,243.55,226.74,215.9,233.31,207.12,283.94,278.39,230.58,220.7,233.42,226.07,228.35,238.93,228.16,273.33,252.31,302.29,257.93,248.82,275.29,237.48,229.77,316.23,201.95,258.98,309.28,252.81,499.43,210.1,437.9,276.08,217.31,469.8,237.5
228.65,258.95,235.59,257.11,275.42,211.21,230.43,296.38,217.84,236.76,213.2,414.8,223.42,221.82,230.07,222.13,229.33,236.89,237.76,225.84,210.77,221.14,220.51,289.71,224.15,292.53,235.19,232.16,223.19,244.91,228.57,214.72,232.53,206.84,287.25,278.01,232.9,221.43,235,226.9,227.8,240.63,228.08,273.2,251.38,302.86,257.39,250.36,277.57,236.13,228.13,316.84,201.87,261.87,312.26,252.61,504.81,211.25,440.48,277.48,217.57,465.14,237.21
228.65,259.39,234.69,257.84,277.22,210.29,230.07,296.33,217.91,236.97,213.94,415.69,223.01,220,230.18,221.75,228.98,234.78,236.11,227.36,211.26,220.59,220.74,290.85,223.87,292.38,233.22,231.4,222.73,245.49,228.52,214.42,232.8,207.04,291.41,277.14,234.07,221.96,235.35,227.38,231,239.54,227.19,273.09,251.97,304.11,257.4,252.44,279.43,239.85,227.54,318.95,201.85,264.37,311.72,252.26,505.06,210.09,441.67,278.13,215.82,465.39,236.17
228.57,262.12,233.8,256.02,277.33,211.13,229.43,297.73,217.11,236.75,213.01,416.18,222.76,221.12,229.28,221.08,227.89,234.41,236.46,224.52,209.97,219.74,220.14,291.69,223.61,293.97,233.84,231.05,222.75,244.99,227.42,214.61,232.53,206.49,292.16,277.51,236.26,221.81,235.81,227.53,231.72,239.01,227.1,272.21,251.6,307.21,259.47,253.2,279.98,239.39,227.34,320.91,202.18,265.4,312.43,252.05,508.24,209.58,444.93,278.79,217.47,466.84,237.09
228.06,260.34,232.86,255.56,277.26,209.24,228.88,298.05,217.03,236.62,213.24,416.93,222.46,219.73,230.25,220.62,227.88,233.63,236.62,223.88,208.9,220.81,220,291.69,222.97,290.39,232.79,230.02,223.81,243.76,227.47,213.83,232.07,207.17,293.86,277.73,236.81,223.41,237.35,228.98,233.6,238.67,226.03,270.14,251.82,304.99,259.72,254.41,280.28,240.26,226.07,322.88,201.43,267.75,316.59,251.56,510.19,210.62,446.01,277.56,215.94,462.71,234.76
228.11,261.71,232.27,253.48,278.58,209.6,228.39,298.78,216.7,237.78,213.2,415.15,220.99,220.62,228.92,221.09,228.47,232.51,236.21,224.45,208.85,219.94,220.73,290.35,223.58,290.58,234.4,228.88,223.21,243.33,225.8,213.71,231.76,205.86,294.92,277.31,239.85,224.81,235.76,229.09,235.58,238.46,225.5,268.21,251.82,306.28,259.26,254.96,281.06,241.61,225.78,323.92,200.56,269.23,316.34,252.9,513.21,209.75,449.16,277.52,215.24,461.96,235.33
228.48,262.39,232.45,252.36,277.86,208.99,228.3,297.71,216.4,236.93,212.2,419.27,220.82,219.82,228.5,220.29,227.35,231.37,234.64,223.96,208.06,219.53,218.22,290.01,220.54,290.73,232.56,229.15,223.83,243.49,224.72,212.35,230.15,205.87,297.98,275.51,241.82,226.46,237.58,230.64,237.7,237.54,224.86,268.46,254.29,305.61,260.37,256.18,284.29,243.43,224.84,325.52,200.14,268.19,319.14,252.76,518.54,209.49,449.76,278.67,215.16,461.38,235.78
228.33,264.29,231.01,252.46,278.78,209.22,228.46,298.1,215.57,237.49,213.08,419.51,221.4,220.17,227.74,219.91,227.04,231.33,233.26,223.03,207.8,218.37,219.04,286.95,221.41,288.71,232.92,227.78,225.64,241.34,224.32,210.99,231.05,205.47,297.88,276.61,242.85,228.11,238.94,231.96,237.13,237.31,224.38,268.76,253.83,304.96,261.86,258,285.58,242.13,223.74,329.18,200.76,270.02,321.51,252.81,518.57,209.29,450.32,277.17,216.86,458.04,233.12
